dataset_name;run_id;setting;accuracy;balanced_accuracy;recall_0;precision_0;recall_1;precision_1;recall_2;precision_2;recall_3;precision_3;recall_4;precision_4;recall_5;precision_5;dataset_size;abs_4;rel_4;abs_1;rel_1;abs_0;rel_0;abs_3;rel_3;abs_2;rel_2;abs_5;rel_5;active_learning_cycles;samples_per_cycle;initial_sample;active_sampling_strategy;balancing_factor;random_seed;unlabeled_samples;model_name;output_dir;batch_size;num_epochs;max_steps;sampling_strategy;num_iterations;body_learning_rate;head_learning_rate;loss;distance_metric;margin;end_to_end;use_amp;warmup_proportion;l2_weight;max_length;samples_per_label;show_progress_bar;seed;report_to;run_name;logging_dir;logging_strategy;logging_first_step;logging_steps;evaluation_strategy;eval_steps;eval_delay;eval_max_steps;save_strategy;save_steps;save_total_limit;load_best_model_at_end;metric_for_best_model;greater_is_better
dair-ai_emotion;26;max_entropy;0.571;0.390;0.736;0.540;0.798;0.626;0.157;0.400;0.182;0.714;0.443;0.485;0.025;0.111;48;9;0.19;12;0.25;13;0.27;6;0.12;5;0.10;3;0.06;3;12;balanced;max_entropy;0.0;42;120;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;27;max_entropy;0.559;0.373;0.602;0.563;0.861;0.577;0.079;0.500;0.316;0.512;0.382;0.497;0.000;0.000;48;11;0.23;15;0.31;10;0.21;7;0.15;3;0.06;2;0.04;3;12;balanced;max_entropy;0.0;42;600;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;28;max_entropy_balanced;0.528;0.360;0.585;0.640;0.795;0.521;0.152;0.223;0.320;0.506;0.269;0.523;0.037;0.167;48;7;0.15;14;0.29;10;0.21;8;0.17;6;0.12;3;0.06;3;12;balanced;max_entropy;0.25;42;120;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;29;max_entropy_balanced;0.527;0.334;0.562;0.543;0.888;0.538;0.084;0.682;0.084;0.821;0.387;0.385;0.000;0.000;48;10;0.21;16;0.33;11;0.23;4;0.08;4;0.08;3;0.06;3;12;balanced;max_entropy;0.25;42;600;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;30;random;0.756;0.659;0.876;0.774;0.814;0.815;0.410;0.474;0.749;0.713;0.675;0.769;0.432;0.778;384;45;0.12;122;0.32;117;0.30;55;0.14;31;0.08;14;0.04;3;96;balanced;random;0.0;42;960;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;31;random;0.760;0.652;0.836;0.792;0.862;0.815;0.421;0.630;0.735;0.724;0.698;0.658;0.358;0.569;384;45;0.12;129;0.34;111;0.29;58;0.15;28;0.07;13;0.03;3;96;balanced;random;0.0;42;1000;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;32;max_entropy;0.777;0.705;0.867;0.791;0.842;0.859;0.489;0.608;0.705;0.727;0.736;0.678;0.593;0.716;384;63;0.16;101;0.26;106;0.28;53;0.14;39;0.10;22;0.06;3;96;balanced;max_entropy;0.0;42;960;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;33;max_entropy;0.780;0.714;0.862;0.775;0.847;0.868;0.494;0.638;0.702;0.692;0.750;0.733;0.630;0.761;384;60;0.16;108;0.28;100;0.26;51;0.13;36;0.09;29;0.08;3;96;balanced;max_entropy;0.0;42;1000;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;34;max_entropy_balanced;0.804;0.719;0.905;0.797;0.862;0.871;0.584;0.654;0.731;0.764;0.759;0.770;0.469;0.809;384;61;0.16;109;0.28;92;0.24;58;0.15;45;0.12;19;0.05;3;96;balanced;max_entropy;0.25;42;960;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
dair-ai_emotion;35;max_entropy_balanced;0.795;0.734;0.840;0.808;0.871;0.877;0.551;0.645;0.716;0.722;0.797;0.710;0.630;0.773;384;66;0.17;108;0.28;86;0.22;55;0.14;46;0.12;23;0.06;3;96;balanced;max_entropy;0.25;42;1000;sentence-transformers/all-mpnet-base-v2;checkpoints;(16, 2);(1, 16);-1;oversampling;20;(2e-05, 1e-05);0.01;<class 'sentence_transformers.losses.CosineSimilarityLoss.CosineSimilarityLoss'>;<function BatchHardTripletLossDistanceFunction.cosine_distance at 0x7f070fa38040>;0.25;False;False;0.1;None;None;2;True;42;['tensorboard'];None;runs/Dec13_18-18-21_17df9383a542;IntervalStrategy.STEPS;True;50;IntervalStrategy.NO;None;0;-1;steps;500;1;False;embedding_loss;False
